"Step","Conventional RGCN - loss","Conventional RGCN - loss__MIN","Conventional RGCN - loss__MAX","Med-LINK - loss","Med-LINK - loss__MIN","Med-LINK - loss__MAX"
"7","0.9830636978149414","0.9830636978149414","0.9830636978149414","0.9999544620513916","0.9999544620513916","0.9999544620513916"
"8","0.9991374015808105","0.9991374015808105","0.9991374015808105","0.9999043941497803","0.9999043941497803","0.9999043941497803"
"9","0.9995847344398499","0.9995847344398499","0.9995847344398499","0.9997831583023071","0.9997831583023071","0.9997831583023071"
"10","0.9991593360900879","0.9991593360900879","0.9991593360900879","0.9995179772377014","0.9995179772377014","0.9995179772377014"
"11","0.9975197315216064","0.9975197315216064","0.9975197315216064","0.99897301197052","0.99897301197052","0.99897301197052"
"12","0.9935511350631714","0.9935511350631714","0.9935511350631714","0.997911810874939","0.997911810874939","0.997911810874939"
"13","0.983961820602417","0.983961820602417","0.983961820602417","0.9962467551231384","0.9962467551231384","0.9962467551231384"
"14","0.9587916135787964","0.9587916135787964","0.9587916135787964","0.9939599633216858","0.9939599633216858","0.9939599633216858"
"15","0.8892418146133423","0.8892418146133423","0.8892418146133423","0.9906806945800781","0.9906806945800781","0.9906806945800781"
"16","0.743796169757843","0.743796169757843","0.743796169757843","0.9853233098983765","0.9853233098983765","0.9853233098983765"
"17","0.712451159954071","0.712451159954071","0.712451159954071","0.9783062934875488","0.9783062934875488","0.9783062934875488"
"18","0.7833016514778137","0.7833016514778137","0.7833016514778137","0.9667963981628418","0.9667963981628418","0.9667963981628418"
"19","0.7255609631538391","0.7255609631538391","0.7255609631538391","0.9504704475402832","0.9504704475402832","0.9504704475402832"
"20","0.6849673986434937","0.6849673986434937","0.6849673986434937","0.9239368438720703","0.9239368438720703","0.9239368438720703"
"21","0.7176792621612549","0.7176792621612549","0.7176792621612549","0.8804104924201965","0.8804104924201965","0.8804104924201965"
"22","0.6976659297943115","0.6976659297943115","0.6976659297943115","2.7919609546661377","2.7919609546661377","2.7919609546661377"
"23","0.6765170097351074","0.6765170097351074","0.6765170097351074","0.7909781336784363","0.7909781336784363","0.7909781336784363"
"24","0.6739608645439148","0.6739608645439148","0.6739608645439148","0.7480630278587341","0.7480630278587341","0.7480630278587341"
"25","0.6679982542991638","0.6679982542991638","0.6679982542991638","0.6789946556091309","0.6789946556091309","0.6789946556091309"
