"Step","Conventional RGCN - train_auc","Conventional RGCN - train_auc__MIN","Conventional RGCN - train_auc__MAX","Med-LINK - train_auc","Med-LINK - train_auc__MIN","Med-LINK - train_auc__MAX"
"0","0.3998665281717933","0.3998665281717933","0.3998665281717933","0.46558208051058003","0.46558208051058003","0.46558208051058003"
"1","0.6970765129181401","0.6970765129181401","0.6970765129181401","0.6209029309983254","0.6209029309983254","0.6209029309983254"
"2","0.7160006563696696","0.7160006563696696","0.7160006563696696","0.7330530518095077","0.7330530518095077","0.7330530518095077"
"3","0.5844214235024127","0.5844214235024127","0.5844214235024127","0.2728611861652356","0.2728611861652356","0.2728611861652356"
"4","0.6853366357041106","0.6853366357041106","0.6853366357041106","0.31854291521180367","0.31854291521180367","0.31854291521180367"
"5","0.5979408978690939","0.5979408978690939","0.5979408978690939","0.2002881975524857","0.2002881975524857","0.2002881975524857"
"6","0.7359491120749906","0.7359491120749906","0.7359491120749906","0.7141455765908963","0.7141455765908963","0.7141455765908963"
"7","0.7186076451033443","0.7186076451033443","0.7186076451033443","0.5424355613522789","0.5424355613522789","0.5424355613522789"
"8","0.5917708577802623","0.5917708577802623","0.5917708577802623","0.562342130887082","0.562342130887082","0.562342130887082"
"9","0.5689119656948401","0.5689119656948401","0.5689119656948401","0.6010662505649187","0.6010662505649187","0.6010662505649187"
"10","0.6519060521458917","0.6519060521458917","0.6519060521458917","0.6505611546759453","0.6505611546759453","0.6505611546759453"
"11","0.7173251248493514","0.7173251248493514","0.7173251248493514","0.6980003560668651","0.6980003560668651","0.6980003560668651"
"12","0.7335447209923154","0.7335447209923154","0.7335447209923154","0.7232768641191666","0.7232768641191666","0.7232768641191666"
"13","0.7383874066793743","0.7383874066793743","0.7383874066793743","0.7323206467235284","0.7323206467235284","0.7323206467235284"
"14","0.7344202606099062","0.7344202606099062","0.7344202606099062","0.7339740158122809","0.7339740158122809","0.7339740158122809"
"15","0.732821915555981","0.732821915555981","0.732821915555981","0.7292030341620513","0.7292030341620513","0.7292030341620513"
"16","0.7339788329340907","0.7339788329340907","0.7339788329340907","0.7342665998807518","0.7342665998807518","0.7342665998807518"
"17","0.7368068522010287","0.7368068522010287","0.7368068522010287","0.7354069524512288","0.7354069524512288","0.7354069524512288"
"18","0.7337081579073771","0.7337081579073771","0.7337081579073771","0.7294935326061538","0.7294935326061538","0.7294935326061538"
"19","0.7316207738826339","0.7316207738826339","0.7316207738826339","0.7310622944621732","0.7310622944621732","0.7310622944621732"
"20","0.7361489753754374","0.7361489753754374","0.7361489753754374","0.7323072920227595","0.7323072920227595","0.7323072920227595"
"21","0.7322846654235076","0.7322846654235076","0.7322846654235076","0.7322256416832612","0.7322256416832612","0.7322256416832612"
"22","0.7363039496057117","0.7363039496057117","0.7363039496057117","0.7129333081400752","0.7129333081400752","0.7129333081400752"
"23","0.7355471582640795","0.7355471582640795","0.7355471582640795","0.7322551071903256","0.7322551071903256","0.7322551071903256"
"24","0.732120250961183","0.732120250961183","0.732120250961183","0.732812452855679","0.732812452855679","0.732812452855679"
"25","0.7369918290365716","0.7369918290365716","0.7369918290365716","0.7289790196309958","0.7289790196309958","0.7289790196309958"
"26","0.7375304846830045","0.7375304846830045","0.7375304846830045","0.735640687532521","0.735640687532521","0.735640687532521"
"27","0.7335364872697108","0.7335364872697108","0.7335364872697108","0.7335332554078733","0.7335332554078733","0.7335332554078733"
"28","0.7333700217769925","0.7333700217769925","0.7333700217769925","0.7445036955776623","0.7445036955776623","0.7445036955776623"
